Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0130130586882464","-0,0186321803409218","0,0693050957468901",0,0,0,"0,598845649993383","0,0153601360101017","-0,000145278344408233","0,000457315324787233","0,00354422180066577","0,00101559539434738","0,0136920470434805",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/base_link.STL,,T2-2-Colony_do_stl_BASE-1,global_coord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
part4_Link,"-4,99972084786395E-06","-0,00373338781968693","0,111744185643968",0,0,0,"0,0969198039642249","0,000418936512631073","3,93314049558749E-15","9,77786723366793E-13","0,000409215372129597","-1,32827962830476E-05","1,52541238995031E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part4_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part4_Link.STL,,T2-2-Colony_do_stl_4-1,part4_coord,,part4_fixed,fixed,0,"-0,1705","0,18761",0,0,0,base_link,0,0,0,,,,,,,,,,,,
part3_Link,"-4,99999999924231E-06","-0,0137318326946166","0,0312060406230509",0,0,0,"0,0281184796926807","1,50586211973433E-05","2,96895333527314E-21","-4,03756604518295E-20","1,48595644822487E-05","1,10323506414933E-06","1,79369084656615E-06",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part3_Link.STL,,T2-2-Colony_do_stl_3-1,part3_coord,,part3_fixed,fixed,0,"-0,046","0,07503",0,0,0,part4_Link,0,0,0,,,,,,,,,,,,
part2_Link,"-4,96733700986508E-06","0,000714404088624304","0,085825376242205",0,0,0,"0,0718248865077453","0,000159918818849133","1,23633640608755E-10","1,31586058272146E-10","0,000157051391404197","-3,52643586705953E-06","7,01384565994679E-06",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part2_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part2_Link.STL,,T2-2-Colony_do_stl_2-1,part2_coord,,part2_fixed,fixed,0,0,"0,23504",0,0,0,part4_Link,0,0,0,,,,,,,,,,,,
part1_Link,"5,00000000130265E-06","0,0141609387068788","0,0509283679788508",0,0,0,"0,042246856850289","5,00300336432798E-05","-2,17670381114558E-21","-1,45544543068663E-19","4,98158537587726E-05","-1,80651228539477E-06","2,6100519450586E-06",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part1_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part1_Link.STL,,T2-2-Colony_do_stl_1-1,part1_coord,,part1_fixed,fixed,-1E-05,"0,026995","0,10264",0,0,0,part2_Link,0,0,0,,,,,,,,,,,,
part6_Link,"-4,99739226568875E-06","-0,0116670048403046","0,0867461608430799",0,0,0,"0,101165128405053","0,000265966771354361","5,9705969491741E-12","-5,67642508311449E-12","0,000235976628423259","-1,44975313261071E-05","3,57638844616819E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part6_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part6_Link.STL,,T2-2-Colony_do_stl_6-1,part6_coord,,part6_fixed,fixed,0,"-0,0505","0,18761",0,0,0,base_link,0,0,0,,,,,,,,,,,,
part5_Link,"-5,00290299813615E-06","-0,0079464562887241","0,0690184458847976",0,0,0,"0,0656247018522205","9,24962888545499E-05","7,30314273617971E-12","-6,50699604056355E-12","7,87691048008746E-05","1,86690252642677E-06","1,74853805038705E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part5_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part5_Link.STL,,T2-2-Colony_do_stl_5-1,part5_coord,,part5_fixed,fixed,0,0,"0,18939",0,0,0,part6_Link,0,0,0,,,,,,,,,,,,
part9_Link,"-4,99951377741232E-06","-0,0210328938545636","0,0716163092837544",0,0,0,"0,0899994155753666","0,000171413796503586","5,26452381358543E-12","-3,93136257350004E-12","0,000138961072178149","3,31895268319923E-05","3,75932427685874E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part9_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part9_Link.STL,,T2-2-Colony_do_stl_9-1,part9_coord,,part9_fixed,fixed,0,"0,0505","0,18761",0,0,0,base_link,0,0,0,,,,,,,,,,,,
part8_Link,"-5,00804651945172E-06","0,0212719211947087","0,0858724480722534",0,0,0,"0,0822877579784405","0,000203729364746164","1,02024722056659E-11","7,60052490916797E-12","0,000174398359173244","-5,47344886357249E-05","3,40341914685005E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part8_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part8_Link.STL,,T2-2-Colony_do_stl_8-1,part8_coord,,part8_fixed,fixed,0,0,"0,10805",0,0,0,part9_Link,0,0,0,,,,,,,,,,,,
part7_Link,"-5,00014839560417E-06","-0,00568004945324685","0,0847901048387558",0,0,0,"0,0848393865921651","0,000276018649946417","4,46702514056546E-12","-3,31697762197871E-12","0,000262931316072701","-2,26872972208152E-05","1,79352200842162E-05",0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part7_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://T2-2-Colony-CUT_URDF/meshes/part7_Link.STL,,T2-2-Colony_do_stl_7-1,part7_coord,,part7_fixed,fixed,0,0,"0,09641",0,0,0,part8_Link,0,0,0,,,,,,,,,,,,
